TimeStamp,Price,Area,PriceSqm,Rooms,Type,ApartmentFloor,TotalFloors,Year,Link,City,Neighborhood,Street
5/30/2022,48700,25,1948,1,1 kambario butas ,3,5,1980,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-naujininkuose-saltkalviu-g-7593853.html,Vilnius, Naujininkuose, Šaltkalviu g.
5/30/2022,239000,79,3025.316456,4,4 kambariu butas ,3,3,2018,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-bendoreliuose-bendoriu-g-7604353.html,Vilnius, Bendoreliuose, Bendoriu g.
5/30/2022,160000,90,1777.777778,4,4 kambariu butas ,2,3,2021,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-pilaiteje-dituvos-g-7604734.html,Vilnius, Pilaiteje, Dituvos g.
5/30/2022,212000,58.82,3604.216253,3,3 kambariu butas ,8,8,2022,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-pilaiteje-karaliauciaus-g-7606135.html,Vilnius, Pilaiteje, Karaliauciaus g.
5/30/2022,147900,53.68,2755.216095,3,3 kambariu butas ,2,8,2022,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-pilaiteje-giluzio-g-7603201.html,Vilnius, Pilaiteje, Gilužio g.
5/30/2022,111200,38.27,2905.670238,2,2 kambariu butas ,2,8,2022,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-pilaiteje-karaliauciaus-g-7606132.html,Vilnius, Pilaiteje, Karaliauciaus g.
5/30/2022,169400,62.05,2730.056406,3,3 kambariu butas ,3,8,2022,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-pilaiteje-giluzio-g-7606138.html,Vilnius, Pilaiteje, Gilužio g.
5/30/2022,235000,136.49,1721.737856,4,4 kambariu butas ,1,2,2020,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-santariskese-santariskiu-g-7603207.html,Vilnius, Santariškese, Santariškiu g.
5/30/2022,22500,8,2812.5,1,1 kambario butas ,4,5,1977,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-naujamiestyje-gelezinio-vilko-g-7605934.html,Vilnius, Naujamiestyje, Geležinio Vilko g.
5/30/2022,70000,33,2121.212121,2,2 kambariu butas ,3,3,2021,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-baltupiuose-kalvariju-g-7602907.html,Vilnius, Baltupiuose, Kalvariju g.
5/30/2022,202000,46,4391.304348,2,2 kambariu butas ,6,7,2017,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-7601071.html,Vilnius, Naujamiestyje,NULL
5/30/2022,139000,36,3861.111111,1,1 kambario butas ,2,7,2014,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-snipiskese-kernaves-g-7590097.html,Vilnius, Šnipiškese, Kernaves g.
5/30/2022,42000,25,1680,1,1 kambario butas ,3,4,2016,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-kirtimuose-meistru-g-7466479.html,Vilnius, Kirtimuose, Meistru g.
5/30/2022,60000,48,1250,2,2 kambariu butas ,1,1,1940,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-markuciuose-markuciu-g-7409713.html,Vilnius, Markuciuose, Markuciu g.
5/30/2022,138000,51,2705.882353,2,2 kambariu butas ,5,5,1975,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-snipiskese-giedraiciu-g-7606792.html,Vilnius, Šnipiškese, Giedraiciu g.
5/30/2022,200000,52.4,3816.793893,2,2 kambariu butas ,2,NULL,1940,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-senamiestyje-siauliu-g-7606597.html,Vilnius, Senamiestyje, Šiauliu g.
5/30/2022,114000,47,2425.531915,2,2 kambariu butas ,2,5,1975,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-snipiskese-giedraiciu-g-7606612.html,Vilnius, Šnipiškese, Giedraiciu g.
5/30/2022,160000,44.63,3585.032489,2,2 kambariu butas ,5,NULL,2021,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-a-vivulskio-g-7606594.html,Vilnius, Naujamiestyje, A. Vivulskio g.
5/30/2022,210000,53,3962.264151,2,2 kambariu butas ,2,4,1954,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-senamiestyje-algirdo-g-7606495.html,Vilnius, Senamiestyje, Algirdo g.
5/30/2022,379000,98.96,3829.830234,4,4 kambariu butas ,4,5,1914,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-naujamiestyje-a-domaseviciaus-g-7606480.html,Vilnius, Naujamiestyje, A. Domaševiciaus g.
5/30/2022,132500,61,2172.131148,3,3 kambariu butas ,1,2,2022,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-pilaiteje-7606441.html,Vilnius, Pilaiteje,NULL
5/30/2022,150000,70.29,2134.016219,3,3 kambariu butas ,1,NULL,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-snipiskese-kalvariju-g-7606234.html,Vilnius, Šnipiškese, Kalvariju g.
5/30/2022,79900,74.81,1068.039032,4,4 kambariu butas ,2,2,1940,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-aukstieji-paneriai-kadugiu-g-7606264.html,Vilnius, Aukštieji Paneriai, Kadugiu g.
5/30/2022,169900,43.88,3871.923428,3,3 kambariu butas ,5,9,2016,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-naujamiestyje-gelezinio-vilko-g-7606270.html,Vilnius, Naujamiestyje, Geležinio Vilko g.
5/30/2022,123000,41.35,2974.607013,2,2 kambariu butas ,6,9,2014,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-pilaiteje-vyduno-g-7606276.html,Vilnius, Pilaiteje, Vyduno g.
5/30/2022,229000,118.11,1938.870544,3,3 kambariu butas ,1,NULL,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-snipiskese-kalvariju-g-7606243.html,Vilnius, Šnipiškese, Kalvariju g.
5/30/2022,79900,74.81,1068.039032,3,3 kambariu butas ,2,2,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-paneriuose-kadugiu-g-7606267.html,Vilnius, Paneriuose, Kadugiu g.
5/30/2022,320000,100,3200,3,3 kambariu butas ,1,NULL,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-m-dauksos-g-7606237.html,Vilnius, Senamiestyje, M. Daukšos g.
5/30/2022,169900,43.88,3871.923428,2,2 kambariu butas ,5,9,2016,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-gelezinio-vilko-g-7606252.html,Vilnius, Naujamiestyje, Geležinio Vilko g.
